Sample_ID,Project_ID,Group,Country,environmental_material,Region,Continent,Instrument,Sequencing_Center
ERR3209754,PRJEB31632,Hosp_env,Singapore,Aerator,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209755,PRJEB31632,Hosp_env,Singapore,Aerator,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209756,PRJEB31632,Hosp_env,Singapore,Aerator,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209757,PRJEB31632,Hosp_env,Singapore,Aerator,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209758,PRJEB31632,Hosp_env,Singapore,Aerator,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209759,PRJEB31632,Hosp_env,Singapore,Aerator,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209760,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209761,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209762,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209763,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209764,PRJEB31632,Hosp_env,Singapore,Bedside_locker,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209765,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209766,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209767,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209768,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209769,PRJEB31632,Hosp_env,Singapore,Bedrail,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209770,PRJEB31632,Hosp_env,Singapore,Cardiac_table,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209771,PRJEB31632,Hosp_env,Singapore,Cardiac_table,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209772,PRJEB31632,Hosp_env,Singapore,Cardiac_table,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209773,PRJEB31632,Hosp_env,Singapore,Cardiac_table,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209774,PRJEB31632,Hosp_env,Singapore,Door_handle,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209775,PRJEB31632,Hosp_env,Singapore,Door_handle,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209776,PRJEB31632,Hosp_env,Singapore,Door_handle,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209777,PRJEB31632,Hosp_env,Singapore,Pulse_oxymeter,Novena,Asia,Illumina_HiSeq_2000,GIS
ERR3209778,PRJEB31632,Hosp_env,Singapore,Pulse_oxymeter,Novena,Asia,Illumina_HiSeq_2000,GIS
